installid,date,size,cost,subsidy,zip,city,state
SCE-INT-500025441,2011-09-23,4.48,35175,4094,90254,Hermosa Beach,CA
NJSRRE1537842383,2018-06-08,6.49,-1,0,08109,Pennsauken,NJ
SRO12113,2010-04-20,6.665,44740,-1,-1,-1,CO
PGE-INT-113495180,2015-12-04,4.578,17950.68,0,95973,CHICO,CA
NJSRRE1532206024,2015-02-19,5.5,-1,0,07874,STANHOPE,NJ
SCE-INT-SCE-68183,2016-08-16,5.866438776,28597.74,0,90220,COMPTON,CA
PGE-INT-115420869,2018-12-07,4.02,18090,2602,94568,Dublin,CA
107011,2020-05-22,14.4,-1,-1,85083,Phoenix,AZ
PGE-INT-113476034,2015-09-15,11.44,21907,0,93311,BAKERSFIELD,CA
SCE-INT-500671284,2015-03-26,7.206122449,-1,0,92241,DESERT HOT SPRINGS,CA
SDGE-INT-102616,2016-02-01,9.69,16000,0,92065,RAMONA,CA
LADWP-04162-Legacy,2009-10-08,3.87,-1,12465.12,90045,Los Angeles,CA
PGE-INT-113506938,2016-02-12,3.38,15000,0,94089,SUNNYVALE,CA
SCE-INT-NST-71062,2019-01-16,3.135755102,15850,0,92881,CORONA,CA
SCE-INT-500471562,2013-12-20,7.65,23239.82,1315,92780,Tustin,CA
RPV-50578,2020-07-21,7.44,31500,0,06106,Hartford,CT
SDGE-INT-144904,2017-07-03,0.981,30738,0,92126,SAN DIEGO,CA
PGE-INT-113331698,2013-07-11,19.8,82283,2449,93601,Ahwahnee,CA
PGE-INT-114095488,2017-12-21,7.2,22849.65,0,93657,SANGER,CA
OID3865731,2019-11-12,11.315,41924,-1,-1,-1,MN
PGE-INT-117000323,2019-04-12,3.015,15316,0,95765,ROCKLIN,CA
OID3583301,2019-01-15,8.7,15465,-1,-1,-1,CO
DC-166748-SUN-I,2016-05-26,6.213,-1,-1,20003,Washington D.C.,DC
PGE-INT-113276952,2005-09-01,5.6,41063.75,13878,94044,Pacifica,CA
PGE-INT-113373462,2013-11-16,4,-1,-1,95252,VALLEY SPRINGS,CA
SDGE-INT-86285,2015-08-17,4.505,23066,0,92026,ESCONDIDO,CA
PGE-INT-113423408,2015-02-04,16.5,-1,0,95602,AUBURN,CA
LADWP-15035,2016-12-06,1.84,8500,604,90094,Los Angeles,CA
Qfs <10kW #8505,2017-02-20,4.24,-1,-1,87031,LOS LUNAS,NM
PGE-INT-113351240,2013-02-23,3.92,19520,657,94583,San Ramon,CA
PGE-INT-113366534,2013-09-18,2.16,-1,-1,94503,AMERICAN CANYON,CA
NJSRRE1532377030,2010-04-08,9,67500,15750,08234,EGG HARBOR TWP,NJ
RPV-40803,2019-06-03,6.49,20443.5,0,06483,Seymour,CT
187670,2019-08-12,9.16,30947.28,3205,14221,Buffalo,NY
SCE-INT-SCE-04345,2015-11-17,5.0825,25612.8,0,90278,REDONDO BEACH,CA
SCE-INT-500613169,2014-10-30,4.476530612,-1,0,92344,OAK HILLS,CA
PGE-INT-117779017,2019-08-28,6.6,7878.42,0,93245,LEMOORE,CA
PGE-INT-114311012,2018-03-07,4.62,28000,0,94509,ANTIOCH,CA
239925,2020-11-12,3.92,23808,785,11361,Bayside,NY
PGE-INT-113523060,2016-05-12,2.25,9000,0,95334,LIVINGSTON,CA
SDGE-INT-106627,2016-03-17,5.52,26387,0,92127,SAN DIEGO,CA
51934,2016-10-31,9.54,-1,-1,85338,Goodyear,AZ
PGE-INT-113334920,2013-04-06,2.94,14085,7122,94533,Fairfield,CA
PGE-INT-117884530,2019-09-24,14.175,53000.33,0,93654,REEDLEY,CA
RPV-23406,2016-11-23,9.8,19345,0,06108,East Hartford,CT
PGE-INT-114150696,2017-09-29,8.1,22250,0,95037,MORGAN HILL,CA
SRO00948,2007-01-19,2.04,14000,-1,-1,-1,CO
PGE-INT-113483322,2015-09-28,3,15000,0,95035,MILPITAS,CA
SDGE-INT-21296,2010-07-20,8.28,52000,6651,92128,San Diego,CA
TEPDG-07138,2017-05-25,8.85,38940,0,85653,-1,AZ
SDGE-INT-108541,2016-03-08,4.68,25000,0,92117,SAN DIEGO,CA
NJSRRE1540485715,2019-05-21,7.2,-1,0,08244,Somers Point,NJ
NJSRRE1532203053,2014-11-21,5.1,-1,0,08872,SAYREVILLE,NJ
SCE-INT-500063818,2010-08-25,4.367346939,-1,-1,92683,WESTMINSTER,CA
1088117,2015-04-08,5.5,20838.25,5838.25,78725,-1,TX
PGE-INT-119338947,2020-09-09,-1,-1,0,94577,SAN LEANDRO,CA
PGE-INT-118140646,2019-11-15,14.04,53000,0,95370,SONORA,CA
PGE-INT-114214130,2017-12-21,3.835,19150,0,94945,NOVATO,CA
RPV-46091,2020-03-23,5.52,17371.44,0,06610,Bridgeport,CT
SCE-INT-NST-83792,2019-04-10,5.2,5500,0,92691,MISSION VIEJO,CA
SCE-INT-SCE-32439,2016-01-26,6.5,33280,0,-1,-1,CA
PGE-INT-118247112,2019-12-16,8.56,44144,0,94402,SAN MATEO,CA
SCE-INT-NST-156493,2020-08-24,11.52,22465.2,0,91784,UPLAND,CA
1188235,2020-04-23,3.84,15360,2500,78724,-1,TX
NJSRRE1532212272,2015-06-12,5.1,-1,0,08757,TOMS RIVER,NJ
SCE-INT-500559467,2014-06-28,5.35,-1,0,91701,ALTA LOMA,CA
PGE-INT-113589879,2017-04-04,9.317,39511.5,0,93635,LOS BANOS,CA
2013-539884-Sola,2014-03-20,11,42250,4900.13,11557,Hewlett,NY
SDGE-INT-190974,2019-06-10,7.67,34608,0,92106,SAN DIEGO,CA
SCE-INT-500459050,2013-11-24,4.9,25333,845,92307,Apple Valley,CA
185845,2020-03-09,10.14,50757.17,3041,11414,Queens,NY
PGE-INT-113495879,2016-01-26,9.455,57452,0,94506,DANVILLE,CA
PGE-INT-113603541,2017-08-11,5.51,23490,0,93309,BAKERSFIELD,CA
PGE-INT-113285852,2002-02-06,4.433,-1,-1,-1,-1,CA
PGE-INT-114255712,2018-02-13,6.38,34234,0,95136,SAN JOSE,CA
SDGE-INT-199738,2019-04-22,10.585,36850,0,92026,ESCONDIDO,CA
SCE-INT-500413479,2014-12-31,3,11040,3937,92591,Temecula,CA
PGE-INT-113606952,2017-08-23,4.94,23563.8,1849,94571,Rio Vista,CA
PGE-INT-113315083,2011-02-25,13.65,108927,6823,93313,Bakersfield,CA
LADWP-19940,2016-04-18,11.118,46300,2687,91331,Pacoima,CA
PGE-INT-114214000,2017-12-30,2.01,9045,931,95037,Morgan Hill,CA
RPV-49202,2020-07-02,8.4,40036,3334,06905,Stamford,CT
PGE-INT-114255477,2018-03-13,5.13,14857,0,94526,DANVILLE,CA
SCE-INT-NST-51277,2018-07-31,4.95,16650,0,91791,WEST COVINA,CA
PGE-INT-114888183,2018-08-17,4.14,16477.2,0,94568,DUBLIN,CA
