installid,date,size,cost,subsidy,zip,city,state
SCE-INT-SCE-99691,2017-01-25,5.415,26700,0,92545,HEMET,CA
SCE-INT-NST-75465,2019-01-21,8.6135,35000,0,92649,HUNTINGTON BEACH,CA
185340,2019-06-10,5.12,16084,1792,12020,Ballston Spa,NY
PGE-INT-115318450,2018-11-09,12.6,42334,0,93722,FRESNO,CA
SCE-INT-SCE-04614,2015-10-02,15.01166327,64391.6,0,90621,BUENA PARK,CA
SCE-INT-500510753,2014-03-06,7.5,27749,1229,93221,Exeter,CA
107114,2020-05-27,8.32,-1,-1,85395,Goodyear,AZ
SDGE-INT-125844,2016-10-21,5.886,29625,0,92028,FALLBROOK,CA
LADWP-04471,2013-09-19,6.16,31416,4534,91325,Northridge,CA
PGE-INT-114109671 & PGE-INT-116854918,2017-11-22,7.92,29644.64,0,-1,-1,CA
SDGE-INT-159002,2018-05-25,4.251,14884,0,91915,CHULA VISTA,CA
SDGE-INT-143045,2017-06-28,4.485,18124,0,92069,SAN MARCOS,CA
SCE-INT-500058979,2010-05-07,4.14,28350,6686,92509,Riverside,CA
PGE-INT-113397778,2014-03-21,7.1764,-1,0,93720,FRESNO,CA
PGE-INT-118163619,2019-11-20,7.8375,35532.5,0,95901,MARYSVILLE,CA
NFG-SR25630-68191,2016-10-06,11.13,49194.6,0,01510,Clinton,MA
SCE-INT-SCE-30065,2015-12-17,5.035,25779.2,0,90630,CYPRESS,CA
PGE-INT-114214812,2018-01-04,7.475,38272,0,95492,WINDSOR,CA
RPV-29117,2018-02-27,5.4,17500,1711,06339,Ledyard,CT
PGE-INT-113502239,2016-01-08,6.7496,30825.6,0,95926,CHICO,CA
SCE-INT-NST-103135,2019-08-13,9,39975,0,91701,ALTA LOMA,CA
179043,2019-07-24,5.85,19375,2047,14609,Rochester,NY
PGE-INT-114202431,2018-04-24,9.025,20500,0,95993,YUBA CITY,CA
Qfs <10kW #16731,2019-11-08,9.135,-1,-1,88030,Deming,NM
SCE-INT-SCE-116891,2017-06-07,4.2,25850,0,92320,CALIMESA,CA
NJSRRE1541454443,2019-09-25,5.23,-1,0,08232,pleasantville,NJ
NJSRRE1532188390,2014-01-15,5.88,-1,0,08861,PERTH AMBOY,NJ
SCE-INT-NST-59716,2018-09-28,7.743306122,44046.45,0,92544,HEMET,CA
PGE-INT-113286270,2001-10-25,3.2088,29000,12033,94583,San Ramon,CA
OID3416965,2018-08-28,6.2,28205,-1,-1,-1,CO
Qfs <10kW #313,2008-10-08,2.76,-1,-1,87107,ALBUQUERQUE,NM
SCE-INT-NST-143309,2020-07-12,6.3,28350,2499,93291,Visalia,CA
PGE-INT-113470549,2015-09-09,8.745,28158.9,0,93727,FRESNO,CA
5952,2011-04-05,2.115,-1,-1,85396,Buckeye,AZ
NFG-SR25630-93390,2018-08-22,4.9,19110,0,02169,Quincy,MA
SCE-INT-SCE-79100,2016-08-31,17.69212245,40123,0,92270,RANCHO MIRAGE,CA
PGE-INT-113521976,2016-03-29,21.7,70000,0,93619,CLOVIS,CA
OID2555839,2016-08-06,3.12,19227,-1,-1,-1,CO
NFG-SR25630-32138,2015-01-09,6.47,24340.6,0,01550,Southbridge,MA
NFG-SR25630-79561,2017-07-14,9.45,33250,0,01469,Townsend,MA
SDGE-INT-43159,2013-12-21,3,7185,514,92078,San Marcos,CA
PGE-INT-113274224,2008-01-05,2.38,15500,4750,95123,San Jose,CA
SCE-INT-NST-12599,2017-09-26,4.046346939,22680,0,93012,CAMARILLO,CA
SDGE-INT-229051,2019-10-15,6.7,20256,0,92028,FALLBROOK,CA
PGE-INT-113331595,2012-08-03,13.16,64220.8,2830,95946,Penn Valley,CA
NFG-SR25630-62640,2015-09-25,6.5,30550,0,01904,Lynn,MA
NFG-SR25630-68335,2016-10-14,3.18,14055.6,0,02777,Swansea,MA
RPV-36879,2018-12-29,18.46,54480.83,7345,06410,Cheshire,CT
PGE-INT-113554812,2016-10-14,1.53,6000,0,95037,MORGAN HILL,CA
NFG-SR25630-36885,2015-06-26,6.885,38005.2,0,01532,Northborough,MA
PGE-INT-113466202,2015-08-06,11.725,-1,0,95618,DAVIS,CA
PGE-INT-113395855,2014-02-11,12.48,-1,0,93619,CLOVIS,CA
SCE-INT-NST-152301,2020-07-22,9.6,32421.95,0,92584,MENIFEE,CA
PGE-INT-115492596,2019-01-16,4.72,14500,0,93728,FRESNO,CA
PGE-INT-119955861,2020-11-06,9.125,46233.32,0,94041,MOUNTAIN VIEW,CA
Qfs <10kW #5372,2016-02-01,2.3,-1,-1,87031,LOS LUNAS,NM
2014-663791-Sola,2015-03-12,11.45,47217,6091.61,11572,Oceanside,NY
SDGE-INT-7662,2009-06-12,10.368,92120,13621,92028,Fallbrook,CA
SRO28631,2013-05-03,7.92,40392,-1,-1,-1,CO
PGE-INT-113372613,2013-05-18,4.41,19965,718,95618,Davis,CA
PGE-INT-114794753 & PGE-INT-116739207,2018-08-22,12.6,64512,0,-1,-1,CA
PGE-INT-113465499,2015-07-13,11.34,41134,0,95959,NEVADA CITY,CA
SCE-INT-SCE-60179,2016-04-27,4.86,19440,0,91360,THOUSAND OAKS,CA
PGE-INT-113366430,2013-06-03,6.12,-1,-1,95120,San Jose,CA
NJSRRE1534789990,2018-01-17,7.84,-1,0,08232,PLEASANTVILLE,NJ
SCE-INT-SCE-20140,2015-09-11,8.301234694,38400,0,92880,CORONA,CA
NJSRRE1532375464,2008-07-10,6.29,49600,23902,08731,FORKED RIVER,NJ
SCE-INT-SCE-63357,2016-05-19,6.625,1,0,92407,SAN BERNARDINO,CA
SDGE-INT-77912,2015-09-30,3.12,14329.55,7968,92082,Valley Center,CA
PGE-INT-113537906,2016-07-05,11.772,58077,0,93727,FRESNO,CA
SCE-INT-500645370,2015-01-05,7.206122449,-1,0,92548,HOMELAND,CA
NJSRRE1537965035,2018-08-01,9.6,-1,0,07008,Carteret Boro,NJ
PGE-INT-113524239,2016-05-16,9.3852,40903.2,0,-1,-1,CA
1174138,2019-07-01,3.2,12800,3500,78747,-1,TX
PGE-INT-113340852,2012-11-11,3.12,15522,594,94534,Fairfield,CA
RPV-01343,2013-06-26,9.36,32922,10657,06019,Canton,CT
NJSRRE1532575552,2017-01-04,7.16,-1,0,08205,Galloway,NJ
2110511,2011-10-31,2.3,14899.51,-1,87110,Albq,NM
NJSRRE1542422956,2019-12-04,12.21,-1,0,08088,Tabernacle,NJ
CS2-SR25630-18622,2014-06-26,4.02,31539.4,1608,02747,Dartmouth,MA
SMANG_09795,2019-11-26,11.47,38613.6,0,01092,Warren,MA
SCE-INT-SCE-40314,2015-12-29,9.377785714,50201.6,0,92392,VICTORVILLE,CA
PGE-INT-118497621,2020-02-17,4.905,23652.87,13518,95330,Lathrop,CA
SCE-INT-500507907,2014-08-09,3.68,13984,4100,92563,Murrieta,CA
SCE-INT-NST-101206,2019-07-31,7.375,25429,0,91762,ONTARIO,CA
NJSRRE1537862016,2018-08-14,15.95,-1,0,08753,Toms River,NJ
SCE-INT-NST-79624,2019-03-20,5.6,21011.2,0,92284,YUCCA VALLEY,CA
SRO32636,2013-11-08,10,34199.26,-1,-1,-1,CO
SDGE-INT-295526,2020-12-17,7.37,23216,0,92027,ESCONDIDO,CA
PGE-INT-115088232,2018-10-31,14.52,46000,0,95366,RIPON,CA
PGE-INT-113601919,2017-06-06,13.915,57400,0,95125,SAN JOSE,CA
SDGE-INT-153887,2017-12-29,5.68,17904,0,92129,SAN DIEGO,CA
NFG-SR25630-79612,2017-07-19,11.31,42050.58,0,02151,Revere,MA
SDGE-INT-188927,2019-02-26,2.52,13406,0,91977,SPRING VALLEY,CA
SDGE-INT-286050,2020-11-17,8.25,36200,0,92130,SAN DIEGO,CA
LADWP-23465,2016-11-28,2.385,12163.5,556,91401,Van Nuys,CA
PGE-INT-119963111,2020-11-05,7.5647,42757,0,95677,ROCKLIN,CA
159030,2019-01-15,7.59,31821,1571,10305,Staten Island,NY
PGE-INT-118177030,2019-12-18,2.745,6487.6,287,94583,San Ramon,CA
PGE-INT-113578547,2017-04-25,7.98,29500,0,93308,BAKERSFIELD,CA
SCE-INT-NST-22983,2018-07-30,5.7,29184,0,93544,LLANO,CA
NJSRRE1532204555,2014-05-28,7.25,-1,0,08731,FORKED RIVER,NJ
PGE-INT-113556164,2016-10-20,2.915,7732.16,1216,93313,Bakersfield,CA
PGE-INT-113439702,2015-03-26,5.98,-1,0,95138,SAN JOSE,CA
249911,2020-07-23,13.6,50914,-1,11803,Plainview,NY
SCE-INT-SCE-10971,2015-10-03,5.2,26624,0,93274,TULARE,CA
PGE-INT-118952388,2020-06-29,3.33,11939,0,95076,WATSONVILLE,CA
PGE-INT-117780834,2019-08-27,9.86,22000,0,94568,PLEASANTON,CA
937602,2019-12-04,12.42,31740,2000,53597-2356,Waunakee,WI
SCE-INT-500070735,2010-10-16,4.9,32037.21,5478,91001,Altadena,CA
72290,2017-12-11,9.86,-1,-1,85382,Peoria,AZ
PGE-INT-113281385,2006-03-05,2.505,22571.5,5622.2,95403,Santa Rosa,CA
PGE-INT-113345328,2013-01-01,4.165,14280,654,94565,Bay Point,CA
NJSRRE1532870544,2016-10-10,8.06,-1,0,08204,Cape May,NJ
SCE-INT-500531521,2014-04-18,4.694897959,-1,0,93514,BISHOP,CA
